text,label
"It is not my [PERSON] , [PERSON] .",anger
"Thanks , Rock .",joy
"Ladies , please , can you please quiet down ?",anger
What happens to the gold in our safe ?,fear
I'm so happy for you .,joy
"Oh , good gracious .",fear
Damn you !,anger
"Good heavens , these Russian names .",surprise
Don't drink alone .,sadness
"[PERSON] päätti ottaa teidät [PERSON] tilalle ? , Why didn't you tell me ?",anger
You're the busiest woman I ever saw .,surprise
"Oh , boy .",fear
It's because of you people that I can not get outside !,disgust
Go get them and get them quick !,fear
We need an IV right now !,surprise
Don't do it haphazardly This spell is hard to reverse,fear
I make flowers grow .,joy
He's doing fine .,joy
"When [PERSON] got seriously ill , you sent her to a home .",sadness
Give me a minute .,anger
I can't understand half of them and I used to be a lawyer .,sadness
"May I say , my dear Colonel , that it's good to breathe the air of the Gestapo again .",joy
"What kind of a father are you , anyway ?",disgust
"Now , don't be a child .",disgust
Everybody except me .,sadness
I was too nervous .,fear
What if an RD conks out ?,sadness
It's rather funny .,joy
You shouldn't be in here .,anger
My [PERSON] is dead .,sadness
"Man , they'd lock me up from now to [PERSON] .",fear
[PERSON]'s my boy .,joy
"All right , though , innit ?",joy
That surprises me even more .,surprise
She loved racing .,joy
"When the shooting starts , don't forget to duck .",fear
But these are criminals .,surprise
"Hey , Beef , if [PERSON] says the van was empty , the van was empty .",anger
"Young man , you think this thing won't fly ?",surprise
"I wonder how she likes it now , being ordered about by an ex-chorus girl .",disgust
"A horse - ranch Indian , a drunken gunfighter , a sex maniac ... and an uncle !",surprise
"In the dream , the destroyer's destroyed .",fear
This is only just for it is they who betrayed you by surrender .,disgust
Why do you wear that rug ?,disgust
I've got a scar .,sadness
"[PERSON] , what happened ?",surprise
The girls have so little time .,sadness
It breaks my heart .,sadness
It's not like they'll miss it .,disgust
On your head ? She hurt my head .,surprise
And so I clicked it and ... There was the pictures of my daughter .,surprise
Please come . Come and take me .,sadness
"And I appreciate it , [PERSON] .",joy
"Good job , good job .",joy
She loves us very much .,joy
Not a bad family to marry into .,joy
I do not peek .,anger
Maybe that's where they're keeping the kids .,surprise
I can't trust nobody .,fear
"There are you , free to come and go as you please , and you choose to stay here .",surprise
Too bad the girls are in [LOCATION] .,sadness
I must find a place to get out of this downpour !,anger
Humans are dumb .,disgust
A lady wouldn't work for this outfit .,anger
Who told you to step up on my sneakers ?,disgust
"For once in my life , I'm telling --",anger
I'll give you two .,joy
She has such a beautiful mouth too .,joy
You're starting to piss me off .,anger
What am I supposed to do ? Go to a halfway house for wayward SAG members ?,anger
When neighbors call -- Not that they do call ... I see them sniffing ... sniffing .,disgust
He's still emotionally unstable .,fear
"I told you , he didn't even know I was going to do it .",anger
What a tool !,surprise
Time's over for drifters and outlaws and those who got no backbone .,disgust
"Spirits soared , women swooned , and gods were created , gentlemen .",joy
"Maybe you're sorry you married me now , [PERSON] .",sadness
You have no way of knowing the way that I think .,anger
I really missed you .,sadness
Hit him in the head .,anger
Mommy shoulda ' taught you to knock .,anger
"Well , we're all sinners in here .",sadness
"[PERSON] , is you going out of your mind ?",anger
"No , these are mine , I gave you money .",anger
She's pregnant ?,surprise
"You mean , people can hear me now ?",surprise
You protest too much .,anger
"That was magical , that [PERSON] stuff .",joy
She tried to kill me because I told her about Nately .,fear
I hate jumping out of a perfectly good airplane .,anger
"Okay , we have fruit juice , soda , Mudslides are blending , Or I can make you a daiquiri , if you prefer .",joy
I got too messed up ' bro .,sadness
[PERSON] finally agrees .,joy
I don't know if I can afford it .,sadness
Louder !,anger
Looks like trouble ahead .,fear
What's with you lately ? I'll take care of this .,fear
"It wasn't about the money , it was just about the anger .",sadness
What a charming idea for [LOCATION] to surprise us with a lady comrade .,surprise
I broke my heel on my shoe .,sadness
I won't let [PERSON] live like this .,anger
The world was too ridiculous even to bother to live in it .,sadness
And no one will believe me .,sadness
♪ A media - opoly ♪,joy
"It's very important to relax , old boy .",joy
Please !,fear
"We're here to scout , not engage .",disgust
"You ain't really gonna let them take that baby , are you ?",fear
He went into [PERSON]'s chamber .,surprise
"I might have been a lot of things , but I never was a tramp .",disgust
What the fuck is this ?,anger
But the way this one exploded required some type of detonator .,fear
They're okay .,joy
Because when you talked about murder on the tapes ... I assumed it was just hallucination .,sadness
Sit down .,anger
Coochie ...,anger
Forgive me .,sadness
You came as an enemy to destroy me .,sadness
Let's try it again . ♪ There was old man Nemo ♪,joy
Must be very good .,joy
Get out .,anger
"God , it's in perfect shape .",joy
Objection overruled .,anger
Is that so far from your desire ?,surprise
"Play fair with me , fat man .",disgust
No pain .,joy
Don't you ever sleep ?,surprise
When did you discover that ?,surprise
"Oh , [PERSON] ! God !",fear
Wait a minute .,anger
We've come to wish you gladness .,joy
All we want is to live on the land of our fathers in peace .,fear
That is my greatest and most enduring love .,joy
The woman that let her in swears your secretary told her she was with the National Transportation Safety Board .,surprise
"Yeah , call the cops .",anger
It wasn't even loaded .,surprise
You insist on putting me into a position that I don't in the least relish .,sadness
I must go .,sadness
How about -- this cereal is really good .,surprise
What else could I do ?,anger
I think they're gonna kill you with the press too .,fear
"Hello , everybody .",joy
Miss what ?,surprise
No good asking you !,anger
You're the serious one .,anger
Nothing ever really dies in the House .,anger
You're wasting your time .,anger
I'll make friends and enemies to please myself .,anger
Nothing's impossible .,joy
"My , we're a jolly crew , aren't we ?",joy
"Well , I no longer wish to buy your company and take it apart . I don't want anyone else to either .",anger
Poor boy .,sadness
"Miss [PERSON] , I have discovered how to retard the ageing process .",joy
"If we quit , some Federal judge take away your money .",fear
You've got great timing .,joy
How much time has the world got ?,fear
I wonder if it isn't a curse to be wised up like you and me .,sadness
[PERSON] talked him out of it .,joy
Everything okay ?,joy
You're in no condition to discuss it .,anger
Maybe I'm tired of one - night stands .,sadness
"Give me a break , we just met !",anger
Money !,joy
Isabelle !,joy
That'll be a good start .,joy
Everybody !,joy
They're trying to take his old man's land .,disgust
She is the most immoral young lady I have ever seen .,disgust
And anyone who doesn't do right according to nature and my mother I will blow his head off .,disgust
A command is a lonely job . It isn't easy to make decisions .,sadness
Yet neither the husband or anybody else has been in to see her all day .,sadness
Poor lieutenant laker .,sadness
Who is this delivery from ?,surprise
You always blame me !,anger
What'll take to get you to realise I'm givin' you a chance to pull yourselves together ?,surprise
Holy mackerel .,surprise
It sounds to me like you have an agenda .,fear
"You couldn't lend us something more like you are wearing , could you ?",disgust
Play ball ! Yeah .,joy
"Oh , m done rehearsing .",joy
"This is our honeymoon night , and that's all I care to think about .",joy
I have to work .,sadness
Sorry more people weren't there to hear it .,sadness
"Get in the drawing room , lock the door . Don't let anybody in . Don't answer for anybody , all right ?",fear
We're prisoners of war .,fear
Kiss my ass .,anger
Yet men have killed and proved a reason ... and been set free .,disgust
"It's just when you say these things are closing in on me , it's like a nightmare .",fear
I didn't know what I was doing .,fear
I thought they were with [PERSON] .,surprise
What's a girl to do when a man keeps following her around ?,fear
The doc just looked at us and shook his head .,sadness
Don't need anybody right now .,anger
"They're real , aren't they ?",surprise
God - damn it !,anger
"Hey , no !",fear
We went back to square one .,disgust
On an island famous for its fruit and vegetables ?,surprise
It's [PERSON] .,anger
I've been having weather problems .,sadness
"Good , daddy .",joy
Why are you here ?,surprise
I wouldn't want anybody to think I wasn't hospitable .,anger
You better be careful .,anger
"Wanted for horse - thieving down in Seven Rivers , ain't you ?",disgust
It is so wonderful to meet the uncle of darling little Junior .,joy
"[PERSON] , you got here fast .",surprise
Get your hands off him or I'll call the Metropolitan scuffers !,anger
"Well , he was old enough to be your father .",disgust
"What are you guys , a bunch of cripples ?",disgust
You think I was born yesterday ?,anger
"Come on out , you bastards !",disgust
She hates me .,anger
When are you gonna fight a real fighter ?,anger
But you're safe .,joy
I love a persistent wall .,joy
You didn't say grace .,anger
"Yeah , I dreamt about trains .",joy
Otherwise ... she'll kill him .,fear
"No , I told you I don't wan na do that anymore .",anger
Did you want to see me ?,surprise
"Yes , I think I do .",joy
How'd you boys know where to find me ?,surprise
Tell him you're gonna play games on his fucking head .,disgust
Been dead over hours .,sadness
"Well , uh , actually I'm just having coffee . I'm not having breakfast or anything .",fear
"For chrissake , where did she come up with [PERSON] ?",anger
"You do , you look amazing , isabel .",joy
"Not my book , anyway .",anger
"[PERSON] , what have you done my little sister ?",anger
They found my fingerprints on a glass of beer in her apartment .,fear
What do you call it ?,anger
Strange that I should be called a destitute woman when I have all these riches locked in my heart .,disgust
"No , it isn't . Just because we aren't expecting resistance , don't relax on this one .",fear
I don't think you understand the situation . These guys are religious zealots .,fear
Tell him it's none of his business .,anger
Some poor son of a bitch on a public - indecency charge ... Paid off a PA to have his case dismissed .,anger
"If he breaks the law and it crosses this desk , he pays for it .",anger
This is the captain speaking .,fear
Nothing . Nothing .,sadness
Keep your mouth shut !,anger
I forgot who I was .,surprise
"[PERSON] , look at me !",anger
Let's go see the bearded lady .,joy
"Well , I mean ... when you admire a man , you just go all out .",joy
Look at all that underwear .,surprise
I love this !,joy
"Enjoying the party , Captain [PERSON] ?",anger
Don't get too used to those long lunches .,disgust
"[PERSON] , you had no right to do something like that .",anger
We don't understand .,sadness
"You can beat it out of me , but it won't do you any good .",anger
I'm just an old farm boy .,sadness
"Six months or so ago , I fell in love with one of them .",joy
I'm a frightened tramp .,fear
"Have fun , sweetie ?",joy
I don't want to discourage --,sadness
There will be no more movies for days .,anger
Amazing .,joy
What's this mess ?,disgust
OCP cut our salaries percent and canceled our pensions . Now they refuse to even talk to us .,anger
Wish for our lives !,fear
They must have wonderful materials to make a thing like this .,joy
What use is courage if you have no head ?,disgust
"Except we're not behind schedule , we're ahead of it .",joy
I want those two guys banished from her life .,anger
"Hey , you shut up !",anger
Subject is violently antisocial given to delusions of godhood . And he's hopelessly addicted to narcotics .,sadness
"Did you got , like , baby einstein show with him ?",anger
What are you doin' here ?,surprise
"With the speechwriting , I don't want to do it anymore .",disgust
Take a look at these wrinkles and these here grey hairs .,disgust
You a fifty - dollar whore ? - What are you doing ?,disgust
Pull yourself up .,anger
"Your hands are sunburned , aren't they ?",surprise
I didn't mean to kill him .,fear
"I hate you , [PERSON] .",disgust
I can't believe it .,surprise
It ended very badly .,sadness
I felt guilty about always being away from you and Papa .,sadness
You think you're the only guy in this paw that wants out ?,anger
There isn't anything to do .,sadness
I'm supposed to be your partner here .,anger
Let that be a lesson to ya .,anger
Three of your neighbors were killed last night .,sadness
I told him not to expect me to pull the [PERSON] into shape overnight .,anger
"Well , how else was I supposed to get [PERSON] to come home ?",anger
Maybe he's got the flu or something,sadness
I sure hate to lose her for some reason or other .,anger
"You think that's gonna fix it , huh ?",anger
So you'd better be a good little girl and eat your porridge .,anger
You ?,surprise
"I don't say that with any kind of blame or accusation , but that is when it started .",sadness
On the way home we did loop - the - loops so that I could see the moon upside down .,joy
You couldn't leave your girl ?,surprise
I thought your favourite was chicken .,surprise
This is your problem .,anger
You don't look excited .,sadness
How did we end up talking about your death from my drug test ? I don't understand .,sadness
Why won't you let me help you ?,sadness
Don't look down !,fear
"You hadn't seen him in years , and yet you say he was an old friend .",surprise
You don't see what's happening .,anger
You're going bald too .,sadness
You're out of your minds !,disgust
Nothing's going wrong .,joy
I only hope it isn't too high for you here .,fear
"Hey , professor !",joy
I'm just starting to feel like ... Pretty alone .,sadness
I think you're cute .,joy
"What kind of a girl are you , anyway ?",surprise
Our friend  [PERSON] .,disgust
"I thought you were getting fatter , Mama !",surprise
Assembly completed .,joy
Most people think they're beautiful dresses on beautiful women .,disgust
Sucker !,disgust
"I said , [PERSON] , you're already married .",surprise
"Come on , it's me , [PERSON] .",fear
Must you flirt ?,disgust
Come clean right now . Uh ...,fear
I'm not coming in there !,anger
I don't need a doctor . I need a promoter .,anger
"Any guy who says he can fence $ 50,000 , is crazy .",surprise
"It was self - defence , for [PERSON]'s sake !",anger
I'll shoot the son of a bitch in the balls !,disgust
You don't get the truth in the Senate .,disgust
When a threatening power lands in our capital we don't meet them with tea and cookies .,anger
"Well , we won't stand for it .",anger
I wish I could share your confidence .,sadness
I thought he was sick .,surprise
None of this departmental - loyalty crap .,anger
"In spite of glasnost , my friend's novel can not yet be published ... in the [LOCATION] .",anger
I cast thee back to hell !,anger
We want to die !,sadness
I don't want to lose you .,fear
A real Jekyll and [PERSON] .,disgust
[PERSON] were coming out of his nose .,disgust
"When I came here , I thought this was gonna be a 30 - day stretch , maybe 60 .",surprise
"You thought I was in this for the money , [PERSON] ?",surprise
"[PERSON] , I - I - I love you .",fear
He went ' bang ' !,surprise
Remember how white and fluffy she used to be after I gave her a bath ?,joy
Where did [PERSON] get his share of money ?,surprise
We don't want none of his gratitude !,anger
Just put on your coat .,anger
Tragic .,sadness
"Daddy , there are balloons floating away .",sadness
Almighty Sir ... do not drop us in the claws of the eternal death ...,fear
"Well , I don't .",disgust
He was nice .,joy
They'll kill us first .,fear
"He got wounded somewhere in [LOCATION] , and they sent him home .",fear
Why didn't you tell me before my wife left ?,anger
To be enraged with a dumb brute that acted out of blind instinct is blasphemous .,disgust
We've just won the White House .,joy
The captain left a sinking ship .,fear
"Ooh , its breath was like a furnace !",surprise
"Hey , ass - wipe , All the emo freaks belong on the bleachers . Go !",disgust
I am seeing .,joy
I'll tear it out of the calendar .,anger
Sent what ?,fear
Time flies when you're having fun .,joy
"You can't take a bill nobody's heard of and discuss it among 96 , men .",anger
That's entirely ... why don't you bring [PERSON] in to make sure the phone gets answered ?,disgust
"Don't kick me , I won't shut up .",anger
"Reluctantly , I may add .",anger
You said you'd never leave me .,sadness
You'll just have time to change .,anger
I wanted to blame myself even for the man who had taken me .,sadness
"I couldn't hate you , so my hatred turned into an insane fear .",fear
I'm so relieved .,joy
I mistakenly trusted these demons and slaughtered righteous officials To atone for my sins,sadness
But you can't .,sadness
Am I really good enough ?,fear
That's a cute puppy .,joy
"You steal a little swordfish , and [PERSON] should lighten up ?",surprise
Garter belt ?,surprise
"♪ A whale of a tale , and it's all true ♪",joy
Your father wears tight underwear ! And I can't stand your mother ! Your father wears tight underwear !,anger
What are you staring at ?,anger
Does this mean [PERSON] and Miss [PERSON] are engaged ?,surprise
She wasn't even there .,anger
"Well , I don't know whether I can believe all this .",fear
"You're up early , Mr. President .",surprise
I thought you were fast asleep .,surprise
"Ms. [PERSON] , this is an outrageous situation .",surprise
I'll be sorry to leave Faith .,sadness
You ...,anger
Don't try and tell me the runway's too short .,anger
He ran over [LOCATION] like you'd run over a dog and never bothered to stop his car .,disgust
But I don't care about any of that now .,sadness
"I said you're smart , but I'm not a fan , OK ?",anger
Twelve to fifteen percent of the kids we serve were victims of human trafficking .,sadness
How come you bought one ?,surprise
It is not the one .,sadness
"After this , I doubt we shall be allowed to live at all .",fear
"An ongoing retainer on a claiming horse ... that makes tremendous sense . My money , kid ... that's a kiss - off for getting bumped .",joy
[PERSON] ? ! Are you Elder [PERSON] traveling incognito ?,surprise
"I'm awfully unhappy , Mom .",sadness
That's a nice souvenir to have .,joy
I was threatened .,fear
"No , but he's not feeling well .",sadness
"No , you have never loved me .",sadness
"All right , let's get the hell out .",fear
I killed her .,sadness
Because I already have it .,anger
"Oh , very good !",joy
You break the brake .,anger
That seems a pity .,sadness
Go on . - Go on . Yeah .,joy
Francis !,anger
That's the only chance you got left .,sadness
"I've been looking for you all over , hoping you were dead .",disgust
"Hey , I love you .",joy
"Summertime , all you can smell is the garbage .",disgust
I'm not talking about him .,anger
Come on ! Come on ! - No !,anger
"God damn , I better not see her naked on payday .",disgust
"It's the son of a bitch who painted this car , that's who . Yeah , that's what a real criminal is .",disgust
Look how stupid you're acting .,disgust
A queen has no hour for love .,sadness
I'm afraid I can not accept your evaluation of Cdr . Owynn .,sadness
"Let him back in , [PERSON] , now .",anger
"Hey , fuck off !",anger
Haven't seen you in a long time .,surprise
Jesus ... - Christ on a crutch .,surprise
She said she thought it was very thoughtful of me .,joy
[PERSON] thinks he's a smart - ass .,disgust
You let everyone sit around while you took your petty revenge ?,disgust
They've been setting up weird radar sensors all over downtown .,fear
More shopping ?,joy
"One more to go , chicken .",anger
We'll search out their weaknesses .,anger
She's fainted .,fear
"Sorry , boys .",sadness
I did not ask your advice .,anger
"Well , I - I believe ... I believe things have gone far enough .",fear
Now we have all the assholes in one room .,disgust
I hope I never get old and have to be in a wheelchair and have to depend on the ushers to help me out of church .,sadness
I was too late .,sadness
"Why , we's the two most friendly vibrations you ever seen .",joy
"How did you recognise me , Mr [PERSON] ?",surprise
What're you gonna do with me ?,fear
Don't walk away from me .,anger
And we're finished playing the key cities .,anger
You kissed him on the mouth ? - It was nice .,joy
Wait a minute now .,surprise
Why did you ever go there at all ?,surprise
You can't leave me here alone .,surprise
It's our new swimming pool !,joy
My boss'll have your job !,anger
"It's good , isn't it ?",joy
"At my age , you got ta think about retiring .",sadness
It's nice to have company for tea .,joy
Everyone has baggage they bring to a relationship .,sadness
"What he would do one day , he would gladly undo the next .",disgust
Home sweet home .,joy
I - I'm in here .,fear
They're very nice .,joy
I call it to your attention that only one of you has reported here this morning properly dressed .,disgust
"You can at least , for Christ's sake ... lie to me .",sadness
I'll teach you to make meaningless small talk to everyone ...,disgust
"Oh , how I have longed to hold this child .",joy
You little piece of shit .,disgust
I guess that's why the old man gave it to you !,surprise
I couldn't be certain your apartment was safe .,fear
We are happy !,joy
Behave yourself .,anger
Which hedgehog ?,anger
It gives me a terrible pain .,sadness
What made you think you could get in ?,surprise
Some gang of cutthroats and murderers .,fear
Are we supposed to just sit here and wait ?,anger
Never return to [LOCATION] .,disgust
Or it might've just fallen overboard dropped there by some drunken old rummy .,disgust
I told him his wife was a dyke .,disgust
You make me sick with your heroics .,disgust
Isn't that her dancing with that nice - looking young fellow over there ?,joy
It was a pleasure .,joy
I asked you to dance three times and you didn't wan na .,sadness
"You know how I loved her , really .",sadness
"Yo , yo , yo !",joy
It's a damn nightmare .,fear
"Oh , fuck !",surprise
Do you really want to know ?,surprise
Is that a fine - lookin' woman or what ?,joy
Any more than I could on that night I saw [PERSON] for the last time .,sadness
Everybody else thought it was funny !,surprise
My back is getting bad .,sadness
What do they want with us ?,fear
I wouldn't think of such a thing !,surprise
They tell me you've been on your toes since you got here .,fear
Will you get out of here !,anger
"Nice tits , sure , But a face I wouldn't want to Wipe my feet on .",disgust
"No , my colleagues and I didn't find Captain [PERSON] a perfect officer .",disgust
[PERSON] ? What kind of a name is that ?,anger
"I wanted [LOCATION] , but I wasn't counting on it .",sadness
Even if they got lost somewhere .,fear
I don't want to harm you .,sadness
"[PERSON] , it's getting late .",anger
"I get two bucks an hour , plus ten per cent of that goes to a bail fund .",sadness
"Run , [PERSON] !",fear
They were wonderful .,joy
This is the miracle I wanted .,joy
Not good . Let's not get caught in the car .,fear
They got ta be out of their minds !,surprise
"You're not going anywhere , scuzzball !",anger
Was a [N-WORD] ?,disgust
I'm always delighted to meet [PERSON]'s friends .,joy
Please . Please listen to me .,fear
We're rich !,joy
There's no reason for anyone to come after me .,disgust
You're in great danger .,fear
How thoughtful .,joy
"On the other hand , they do have some rather nasty habits .",disgust
"[PERSON] , you don't got a forehead , you got a eight - head .",disgust
How come we never met before ? - No idea .,surprise
"[PERSON] , I'm worried .",fear
What do you hope to accomplish ?,anger
I'm sorry about this .,sadness
"Hell , we could bring in the whole god damn New York Knicks just to make sure your trash hits the basket ! How's that ?",anger
"It's yours , I want you to have it . It's for you .",joy
To avoid bringing disgrace upon a clean and honourable state .,sadness
Leave her alone .,anger
Let's dance !,joy
The dopes are going to inherit the earth anyway .,disgust
How do you expect to enjoy your honeymoon if you can't relax ?,anger
"Oh , my boobs are killing me .",disgust
Have you been drinking ?,disgust
Maybe we're about to find out .,fear
What do you want here ?,anger
A good thing my reactions are so fast,surprise
It's my party and I'll cry if I want to,anger
You sound further away than that .,surprise
Get off of that train .,anger
[PERSON] didn't even look at me .,surprise
That's it !,anger
I think he's right . - I don't want to hear it !,disgust
What kind of mission ?,surprise
Looks like the Lord sends me about every misery he can think of just to try my soul .,sadness
[PERSON]'s crying ! [PERSON]'s crying !,fear
Don't push . - What's wrong ?,fear
It's urgent !,fear
You're really wasteful !,anger
There's a lovely fire in the living room .,joy
Like staying here all night uninvited .,disgust
I had such a good time .,joy
"Well , good to see you boys made it through the war all right .",joy
"God , what's our status ?",fear
A depressing characteristic .,sadness
I was just taking a rest after battling some ghosts and you say I'm blocking your way,anger
"Oh , come on . It just would have been some cushy white - collar resort .",sadness
It was a blessing and God was watching over us that day when they made that decision .,joy
What about dynamite ?,surprise
"Any of you guys call me [PERSON] , and I'll kill you .",anger
"You need money , and quickly .",fear
Why is Willy coming here ?,surprise
"In other words , it doesn't hurt a bit .",joy
That's just my nature .,sadness
I swear that man moves like dead lice were falling off him .,disgust
She seems very unusual . - Yeah .,disgust
"For God's sake , shut that up !",anger
Roll one !,joy
"As far as discretion goes , what were you and [PERSON] doing , comparing notes ?",surprise
It must be in your genes .,joy
That !,surprise
Over my dead body .,anger
Don't you dare .,anger
From now on we are .,joy
"Stand back , Inspector , or I'll shoot you .",anger
"A strange voice , a set of instructions that might have come from anywhere .",fear
"No harm at all , mate .",joy
"You're wasting yourself on this kid , then hanging us up for nothing .",anger
"Drop it , okay ?",anger
I've been robbed .,fear
"Gentlemen , please don't go .",fear
He's taking the day off ?,surprise
"I'm awfully sorry , darling .",sadness
So help me God .,fear
He suffered me to buy him a new suit ... and to get him a job at his old hospital .,surprise
What the hell does  it purport to describe ?,surprise
"And as I was relating this to him , our missiles started shutting down one by one .",fear
We're all alone in this .,sadness
The pretty one on the right . I think she likes you .,joy
You act mighty happy this morning .,joy
"Could've told the truth , fucked them all , had the cigarette with me . That is such bullshit !",anger
It was Father's Day ... the last time I heard from her .,sadness
"We kill the rebels , we kill the rebellion .",anger
I didn't mean it that way .,sadness
But I don't know why because we're just having a nice evening at home watching a movie .,anger
I do hope it won't affect your ego !,disgust
I'm sorry to hear about your little loss .,sadness
Traitor !,disgust
It would have been deliciously wicked .,joy
I want to kill you .,anger
Because you like power .,disgust
"I'm sorry , the coffee's gone .",sadness
[PERSON] god - damn holy reverent shit !,disgust
You've had your trial .,fear
It doesn't happen often these days .,sadness
She went by taxi .,disgust
No you can bring that back .,anger
"You're an operator , not a policymaker . Get used to it .",disgust
I don't see how you have the gall to face me !,anger
"She ... She does not speak for the rest of us , Mr. [PERSON] .",fear
I feel so bad for [PERSON] .,sadness
"That's strange , my brother can't drive like that .",surprise
"Where is your courage , Comrade [PERSON] ?",disgust
That's the worst thing I've ever heard in my life .,sadness
What can you expect from filthy little heathens ?,disgust
I'm warning you .,anger
How did I get mixed up with a bum like him ?,disgust
I really am in a hurry .,fear
Do what he says .,anger
We ... we have a few more questions to ask .,fear
Now you know that the saddest thing in the world is life .,sadness
"If it's so beautiful down there , why ...",joy
And you know what ? They offered us a job .,surprise
I knew there was treasure down here !,joy
"If you print anything now , I'll be exposed .",fear
Somebody's gonna get hurt .,fear
Where is [PERSON] ? !,surprise
"We weren't even there very long , and I had to buy all those darn dresses .",anger
Was that the phone ?,surprise
"Anyway the orders promoting him to Detective , First Grade , have already been cut .",sadness
What the fuck ... !,anger
You've come home .,surprise
That's perfectly all right .,joy
I don't think you should drive .,fear
Saving his life was the final insult .,disgust
"Wh ... what do you want me to do , pa ? Git another girl ?",fear
"Morning , sir .",joy
You're running the risk of harming your children .,fear
I got troubles of my own .,anger
As much as I would regret saving his .,anger
You took him to a freaky fortune lady who scared the shit ...,disgust
"It hurts , hurts , hurts .",sadness
I'm not going to the chair 'cause that ape got trigger - happy !,disgust
If you want Mr. [PERSON] to leave this house alive you must convince him you're healthy and happy .,anger
"Fucking come on , then !",anger
I shall live and he shall die .,anger
"You murdered your own god , by accident .",disgust
Put them back .,anger
"God keep us , keep us all .",fear
"Oh , sh -- I'm sorry .",sadness
No wonder he's worn out .,sadness
I didn't mean to oversell .,fear
Might not get another chance .,sadness
But my shirt is wet .,anger
"If you do that you'll get nothing , except maybe the police after you .",fear
Won't those two years in court be expensive for you ?,surprise
"Who appear to be inconvenient , or troublesome through knowing too much .",fear
"Now , this will get him !",anger
Our prayers were answered .,joy
"God , I love you !",joy
"No . - [PERSON] , you're not finished .",anger
