text,labels
"And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .",anger
And I want [PERSON] and [PERSON] ... dead !,anger
And I'll see you in court in three weeks .,anger
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?,anger|surprise
And I'm warning you .,anger
And if I refuse to sign it ?,anger
"And if there was , I sure as hell wouldn't tell you , colonel .",anger
"And if they try to , they'll find you dead .",anger
"And if we could find it , it wouldn't have a tear .",anger
"And if you don't take me to my hotel , that means I have to walk .",anger|sadness
And it changes because the people at the top forget how they got there .,anger|disgust
"And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...",anger
"And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .",anger
And just what do you want me to do ?,anger
"And let me remind you , we lost two key PA's in one day .",anger
And now they've lost it .,anger|joy|sadness
And now this ?,anger
And runnin' late as usual .,anger
And see that you get out of town .,anger
And stop fidgeting .,anger
And that they wouldn't hold Backpage responsible was very disturbing to me .,anger
And that's my mother ... running away .,anger|disgust|sadness
And that's why I don't wan na talk about it if I don't have to .,anger
"And the last time you were in my office , you told me you hadn't committed a crime to get the job done .",anger
And the other time .,anger|disgust
And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .,anger|disgust|fear
"And then he says , l sure hope he was guilty .  Then he laughs .",anger|disgust|surprise
And then he'll run our lives and take our money .,anger|fear
And then I shot him .,anger
"And there's not a damn thing you can do about it , you understand me ?",anger|sadness
And these people in the union are smarter than what they used to be .,anger|disgust
"And this spic , [PERSON] , what a fucking nut case .",anger|disgust|surprise
And treat those two impostors Just the same ...,anger
And very heavily .,anger
And w - what am I supposed to take your word for being worth ?,anger|disgust
And we think it's actually their job and they're not doing it .,anger
And we're finished playing the key cities .,anger
And we're trapped .,anger|surprise
And what does he want ?,anger
And what makes you think that note would interest me ?,anger
And what point is that ?,anger
And what sort of rubbish are you turning out now ?,anger
"And what will you do then , [PERSON] ?",anger
"And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .",anger
And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .,anger
And you agree ?,anger|disgust
And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .,anger
And you can't make me .,anger
And you think I don't ?,anger|disgust
And you wan na know what else I think ?,anger
And you were going to hate him for the rest of your life .,anger
"And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .",anger|disgust
"And you , all the time laughing at me .",anger|disgust
And you're gonna have to blow me up too !,anger
And you're shocked because I took credit for your idea .,anger
"[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .",anger
Another break - in by some ... Sex - crazed man .,anger
Answer my question .,anger
Any decent church would've burnt you bastards years ago .,anger|disgust
"Any of you guys call me [PERSON] , and I'll kill you .",anger
Anybody can type .,anger
"Anyhow , I'm sick a human life was lost .",anger
Anyone who would deface a work of art with a color like that ought to have his ass removed .,anger
Anything else ?,anger
Anything you say can and will be used against you in a court of law .,anger
"Anyway , what's it matter to you ?",anger|surprise
"Anyway , when do you special intelligence officers do what you're supposed to do ?",anger
"Anyways , I don't give a damn .",anger
Are my glasses there ? Eh ... no .,anger
Are we gonna rescue an old man or stand here and argue ?,anger
Are we supposed to just sit here and wait ?,anger
Are you blind ?,anger
Are you confessing to this ?,anger
Are you confused ?,anger
Are you crazy ?,anger|surprise
Are you dumb ?,anger
Are you fucking crazy ?,anger|disgust
Are you going to come or do I have to drag you ?,anger
Are you guys nuts ?,anger
"Are you happy now , yeah ?",anger
Are you just about finished ?,anger
Are you kidding me ?,anger|surprise
Are you kidding me ? !,anger
Are you kidding ?,anger|surprise
Are you listening ?,anger
Are you looking at my hands ?,anger
Are you mocking me ?,anger
Are you off your trolley ?,anger
Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .,anger
Are you telling me he's carrying a. and a. ?,anger|fear
Are you telling me I don't know what a shark looks like ?,anger
Are you telling me not to worry but free the lab when you work everything out ?,anger
Aren't things bad enough without you talking about dying ?,anger
Aren't you ever satisfied ?,anger
Aren't you gonna tell me my sins are forgiven ?,anger|surprise
Aren't you human ?,anger
Aren't you supposed to know that ? Isn't that your job ? How could you be stupid enough to let somebody follow you ?,anger
Argh ! Kaili !,anger
Art here saw her fighting him off .,anger
"As he said , it's against the rules .",anger
"As I said , sir it all depends how far we're willing to go .",anger
"As I told you , it's time we did something about it .",anger
As in ... pointless .,anger|disgust|fear
"As medical officer , I protest to the way he's being treated .",anger
As much as I would regret saving his .,anger
"As you can see , the available forces have been badly distributed .",anger
"As you know , over here , crime is not exploited to sell newspapers .",anger|joy
"Ask him what money , asshole .",anger
Ask him !,anger
"Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?",anger
Assholes trying to round them up and put them in the back of trucks .,anger
"At 10:00 , tomorrow morning , I want you to bring into my office either a letter denying emphatically that your remarks had any mystic implications or a letter of resignation .",anger
"At some point , she told me about this guy who used to come around to check on her .",anger|disgust|fear
"Autographed by the criminal himself . Hey , buddy , are you gonna read it or buy it ?",anger
"Autumn , get out of here ! Don't fight anymore !",anger|fear
"Aye , yous like to call yourselves opportunists instead of anarchists .",anger
"Back in the village when they made fun of you , I wanted to kill them .",anger
Backpage refused to cooperate with the subcommittee's investigation .,anger
Bad guy .,anger|sadness|surprise
Bad news . Your father cleaned out your bank account to pay for the damage to his store .,anger|sadness
Bastard !,anger
Bastard .,anger
Bastards .,anger
Be a good fellow and get out now .,anger
"Be gone , Satan !",anger
Be nice to that girl .,anger
Be quiet !,anger
Be quiet .,anger
Because I already have it .,anger
Because I did not want in your life .,anger|disgust
"Because I do not like you , Mom .",anger|surprise
Because I'm still tired .,anger
Because it didn't work .,anger
Because it hurts my ears when you do it .,anger
Because of your colonel's stubbornness we are far behind schedule .,anger
Because she can't stand him !,anger
"Because soon you'll be history . That's enough ! In the name of God ,",anger
Because this could be a threat to all life on [LOCATION] if we are reckless with this issue .,anger|fear|sadness
Because we've lived through it .,anger|joy
Been trying to raise him for hours .,anger
Before I heard about the bombing .,anger|fear|sadness
Behave yourself .,anger
Being right ain't gonna do us any good .,anger
"Believe me , I do . I think about it every goddamn day of my fucking life .",anger|disgust
"[PERSON] , I'm disappointed in you . Hiding under a nest while [PERSON] needs help .",anger|sadness
[PERSON] must be crazy .,anger
"Besides , according to your story , you weren't exactly 100 % scientist after you took it .",anger
"Besides , I have to go to the goddamn senior honours dinner tonight .",anger
"[PERSON] , is you going out of your mind ?",anger
"Better open this door , [PERSON] .",anger
Better than yours .,anger|disgust
"Between the cousins and neighbors , there were kids , always causing trouble together .",anger
Big time hurt ! Back !,anger|fear
Bigger than you .,anger|disgust
Bit dicey .,anger|disgust
Bitch !,anger|disgust
Blast off .,anger
Bloody woman .,anger
"Blow it , [PERSON] !",anger
Blowing them up .,anger|fear
"Blue , pink , yellow or orange ? - Green .",anger
[PERSON] continued to invade your privacy .,anger
Boys ...,anger
Break every mirror in the palace .,anger
Break it up . Break it up .,anger|fear
Bridge ...,anger
"Bring her back , girls , alive !",anger
Bring her in later .,anger|fear
Bring her .,anger|disgust|fear
Bring him to me !,anger|fear
Bring him .,anger|disgust
Bring my gun when you come back !,anger
"Bringin' her home in the middle of the night wouldn't help anybody , especially her .",anger
Bullshit !,anger|disgust
Bullshit .,anger|surprise
Burglars !,anger|fear
Burn this !,anger|disgust|fear
"Bury them for 24 , hours , give me time !",anger
Busted .,anger|fear
But get on with it !,anger
But hair just keeps on sprouting .,anger|disgust
But he didn't give a shit .,anger
But he kept it to himself . He kept a lot to himself .,anger|sadness
"But I do , I beat their time .",anger
But I don't give up so easily .,anger
But I don't know why because we're just having a nice evening at home watching a movie .,anger
But I just escaped from here ! Don't you understand ?,anger
But I need to know where it is .,anger
But I won't stand it any longer .,anger
But I'm always going to be a killer .,anger
But if the last powder was taken there is two days it can not be very important .,anger
But if you do not work hard you will be punished .,anger
"But if you're asking me what I want to do , I'm telling you that I haven't decided .",anger
But it soon became obvious that the senor was only mildly interested in the available talent .,anger|sadness
But it's not real .,anger|disgust
But it's The Neverending Story . I've already read it .,anger|disgust
But my shirt is wet .,anger
"But no , you had to be your stupid , stubborn , son of a bitch self .",anger|disgust
"But since you insist on being treated as one , I have no choice but to oblige you .",anger|disgust|joy
But there is a problem .,anger|sadness
But they began spreading wild rumours about steaming in circles . -,anger|fear
But they don't know that I intend to attack them without mercy .,anger
But you can not do this !,anger
"But you do remember this , don't you ?",anger
But you don't hear me complaining .,anger
But you shouldn't open other people's letters .,anger
But you still haven't answered me .,anger
But you're affecting the lives of a lot of other people .,anger
"But , [PERSON] , whatever it is that you're going through , we can help you , but you need to ... How the hell would you know what I need ?",anger
Buy it or wreck it !,anger
"By most standards , flying all the way to [LOCATION] to look for a new face would seem like going to a lot of trouble .",anger|surprise
"By next Friday , you'll have your money .",anger
By stepping on a bottle and breaking the heel of my shoe !,anger
By what right do you question me ?,anger
"C'mon [PERSON] , we got ta find her before the old lech does .",anger
"C'mon [PERSON] , hurry !",anger
[PERSON]'s bugging me .,anger|disgust
"Call it off , [PERSON] .",anger
"Calm down , fam !",anger|disgust|fear
Can he be moved !,anger|disgust
Can you believe it ? It's too tacky .,anger|disgust
Can you explain your testimony that there is more stringent posting rules for selling a motorcycle than selling a - year - old ?,anger
Can't do what ?,anger
Can't I do what I think is right ?,anger|disgust|sadness
Can't make out her name tag .,anger
"Can't shoot a kid , can you , fucker ?",anger|disgust
Can't you go in there and say something ?,anger
"Can't you see I'm playing pool , bruv ?",anger|surprise
Can't you walk faster ?,anger
Can not your brother help ?,anger
Cause I said so .,anger
"cause if you take two big bites and just swallow it , It could get stuck in your throat .",anger
"[PERSON] , you had no right to do something like that .",anger
"Chill or die , asshole .",anger
Christ ! We've got no alternative .,anger
Christ .,anger
"Christ . I don't know what you've been up to , but [PERSON] is pissing fire .",anger|fear
Civilians this time .,anger|disgust
Clang had the whole temple transported here for your sacrifice .,anger
Claymore's gonna cut his nuts off faster than a hedge clipper .,anger
Cleaning up your shit .,anger|disgust
Clear ?,anger
Close the hatch !,anger
"Close your mouth , dear .",anger
"Clowns carry horns , little rubber ones .",anger
"Cody , please ! You must listen !",anger
Col. [PERSON] has reported the theft of a gold ring . A gold ring .,anger
Collaborating with President [PERSON] is always a mistake .,anger|disgust
"Come back , here !",anger
"Come off a rumble , we'd beat the shit out of a gang .",anger
"Come on , [PERSON] . This is no place for a clergyman's son .",anger|disgust
"Come on , come on , come on .",anger
"Come on , [PERSON] . We got ta move !",anger
"Come on , damn it !",anger
"Come on , do what I tell you !",anger
"Come on , don't just dawdle .",anger
"Come on , get on .",anger
"Come on , get up .",anger
"Come on , honey .",anger
"Come on , I'm old enough to be your father .",anger
"Come on , [PERSON] , move over .",anger
"Come on , Lieutenant . What are the SEALs up to ?",anger
"Come on , man . I feel fucked up already .",anger|disgust|sadness
"Come on , [PERSON] , turn yourself in .",anger
"Come on , Mr. [PERSON] . Really .",anger
"Come on , what are you fellows gaping at ?",anger
Come on ! Come on ! - No !,anger
Come on ! You're gonna break your guitar . Come on .,anger|disgust|fear
Come on . Are we doing this again ?,anger
Come on . Cut it out .,anger
"Come on . Go , just go .",anger
Come on . I got a schedule to keep .,anger
Come on . Stop complaining .,anger
Come on . The whole point of these takeovers is to sell off the assets and put old farts like me out to pasture .,anger|disgust
"Concocted all kinds of false information about weapons of mass destruction which [PERSON] did not have , and it was known in intelligence circles he didn't have .",anger|disgust
"Congratulations , Rock ...",anger
Congressman [PERSON] is minutes late as usual .,anger
Convince yourself that way .,anger|sadness
Coochie ...,anger
"Cops are on strike , stupid .",anger
Copycat !,anger
Could have used this a week ago .,anger
Could you guys shut up in there ?,anger
"Could've told the truth , fucked them all , had the cigarette with me . That is such bullshit !",anger
Cover up her mouth !,anger
Coward !,anger|disgust
"Cross , man , it's gonna cost you .",anger
Cut it out .,anger
"Cut out all that talking , [PERSON] .",anger
Cut the conversation .,anger
Cut the shit .,anger|disgust
Dad !,anger|fear|sadness
"Damn it , get in here !",anger
"Damn it , Hob , [PERSON] needs us !",anger
"Damn it , shut up !",anger
"Damn it , stay back here .",anger|fear
Damn it .,anger
Damn you !,anger
Damn !,anger|sadness
Damn .,anger|disgust
"[PERSON] , you're going too fast .",anger
"Darn it , [PERSON] .",anger|disgust
[PERSON] hates caffeine .,anger
"Dear Senator , have you got any idea what it takes to get a bill passed ?",anger
Decker's been calling again .,anger|joy
Defend yourselves !,anger|fear|surprise
Designed to make your life a more annoying place to be .,anger
Dickhead .,anger
Did I hear Lieutenant Junior Grade  ?,anger|surprise
"Did I spend 9 , years with matadors not to learn about fear and safety ?",anger
"Did it ever occur to you , [PERSON] , that the prince looked everywhere for [PERSON] just so that he could put the shoe back on her foot ?",anger
Did not it have to be resting ? Yes .,anger
Did the Lord say : His Pa is a sinner and not meant to be happy ?  - No .,anger
Did ya ? There was a razorback in my truck !,anger
Did you bring that guy in here ?,anger
Did you ever get my flowers ?,anger|sadness
"Did you get drunk , dance in your underwear , and sing sea shanties ?",anger|disgust
"Did you got , like , baby einstein show with him ?",anger
Did you have a warrant to search his trunk ?,anger
Did you hear me ?,anger
Did you hope to go unnoticed here ?,anger
Did you think we don't know about your affair with a government official ?,anger|surprise
Did you try to break into [PERSON]'s house the night of the murder .,anger
Did you write me that letter or not ?,anger
Didn't you hear me ? I said go away !,anger
Didn't you tell me to call you in five minutes ?,anger
"Die , you bastard !",anger
Die ... damn it !,anger
Divvy bitch !,anger|disgust
Do as I tell you !,anger
Do everybody . How soon ?,anger
Do exactly what I tell you and there won't be any problems .,anger
Do I have to find out for yourself ?,anger
Do not be foolish !,anger
Do not leave fingerprints !,anger|fear
"Do not lie to me , [PERSON] .",anger
"Do not lie you know , [PERSON] .",anger|disgust
Do not ruin kamoja .,anger|disgust
Do not say that .,anger
Do not say to me that I have anything to live for .,anger
Do not talk about that son of a bitch .,anger
"Do not think that I do not agree with everything you say , [PERSON] , but I. . .",anger|fear|sadness|surprise
Do not trifle with your luck .,anger
Do people think I'm a carbon copy or a second - rate pretender who only got a shot because of my skin tone ?,anger|fear
Do something with yourself for pity's sakes .,anger|disgust|surprise
Do something !,anger|fear
Do we give the impression of people who are pressed for money ?,anger
Do what he says :,anger|fear
Do what he says .,anger
"Do you accuse me , Mr. [PERSON] ?",anger
Do you expect me to believe this ?,anger
Do you have to cheat at everything ?,anger|disgust
Do you have to make such a racket ?,anger
Do you know Turn the car around and take me to my hotel  ?,anger
Do you question my word ?,anger
Do you see how this affects [PERSON] ? You don't ?,anger
Do you think I do ?,anger
Do you understand what I'm saying ?,anger
Do you want to be a truck driver again ?,anger
Do you wish me to translate [PERSON]'s letter or not ?,anger
"Doctor's here to examine you , freak just so no one can say we laid one finger on you .",anger
Does anything ever happen here ?,anger
Don't  Your Majesty  me !,anger
Don't a man have a right to know what he's signing on for ?,anger
Don't ask me why .,anger
Don't be an idiot .,anger|disgust
Don't be daft !,anger|disgust
"Don't be fresh , dear .",anger|disgust
Don't be nostalgic .,anger
"Don't be rummaging through my private documents , [PERSON] .",anger
Don't be sneaking up on me like that .,anger
"Don't be so sentimental , [PERSON] .",anger
Don't be such a noodle .,anger|disgust
Don't be sure .,anger|disgust
Don't be tricked by his devilish voice !,anger
Don't bother to get up I'll take care of myself,anger
Don't bother your daddy now .,anger
Don't bother .,anger
Don't call me commander .,anger
Don't call me .,anger
Don't come in !,anger
Don't come no closer !,anger
Don't even breathe !,anger
Don't even think about it .,anger
Don't ever do that to me again !,anger|fear
Don't exaggerate .,anger
"Don't fight , [PERSON] .",anger
"Don't Freud me , [PERSON] . You're not qualified .",anger|disgust
"Don't fuck with me on this one , [PERSON] .",anger
"Don't fuck with me , you know ?",anger
"Don't fucking kill him , we've got business to sort out !",anger
"Don't give me that . I know enough about weights and measures to know holes aren't allowed , no corrective holes .",anger
"Don't imagine things , [PERSON] .",anger
Don't joke .,anger
"Don't kick me , I won't shut up .",anger
Don't kid yourself .,anger
Don't let her order you around .,anger
Don't let that cop get away with this .,anger|disgust
Don't listen to him or we'll all be slaughtered .,anger
Don't look at me like that .,anger|disgust
Don't look at me with those soft - boiled eggs .,anger
Don't look at me .,anger|fear
Don't make me shoot you .,anger
"Don't mess around with it , and it won't mess with you .",anger
Don't mind [PERSON] .,anger
Don't mind them .,anger|joy
Don't need anybody right now .,anger
Don't point that fucking thing at me . Take it off .,anger|disgust
Don't pretend you don't know the reason .,anger
Don't push it !,anger|fear
"Don't push me too far , [PERSON] .",anger
Don't question my decisions again .,anger|disgust
Don't raise your voice to me .,anger
Don't ruin it .,anger
Don't run away !,anger|sadness
Don't show it to me .,anger
Don't sit down .,anger
Don't slouch .,anger|disgust
Don't start that again .,anger
"Don't start , [PERSON] .",anger
Don't take me like I'm some corner dealer !,anger
Don't talk like that .,anger
Don't tell me I did that !,anger
Don't tell me that you're above temptation .,anger
Don't tell me to take it easy !,anger
Don't text me .,anger|disgust
Don't think I'm too scared of [PERSON]'s gang to do what's necessary .,anger
Don't think my Pa was a pervert then .,anger
Don't touch me .,anger|disgust
Don't touch that television !,anger
Don't touch the money !,anger
Don't try and tell me the runway's too short .,anger
Don't try to be so sarcastic .,anger
Don't try to change the subject .,anger
Don't try to tell me my business .,anger
Don't walk away from me .,anger
Don't want any more of that .,anger
"Don't waste my time , comrade .",anger
Don't you call my husband names !,anger
Don't you dare turn that off !,anger
Don't you dare .,anger
Don't you doubt Miss [PERSON]'s word !,anger
Don't you ever say that to me again .,anger|disgust
"Don't you forget that I'm still the headman around here , too .",anger
Don't you get it ?,anger
Don't you have any idea where you're going ?,anger|fear
Don't you know it's bad to light forest fires ?,anger|disgust|surprise
Don't you raise your voice to me !,anger
Don't you recognize me ?,anger|surprise
Don't you say a word unless I ask you to .,anger
Don't you see me standing right here ?,anger
Don't you see they don't need you ?,anger
"Don't you see what's happening ? If you don't find me a killer , there is no fucking office !",anger
Don't you think I know how you plan to get out ?,anger|disgust|surprise
Don't you think I know it ?,anger
Don't you understand ?,anger|fear|surprise
Don't you understand ? !,anger
Don't !,anger|fear
Done .  With what ?,anger
"[PERSON] , leave the room .",anger
"Dorcas , it brings me stamps , please .",anger|disgust
Down with the King .,anger|disgust
"Drained their life savings , ruined hundreds of lives , and made off with over $ million .",anger|disgust
Drive !,anger|fear
"Driver , I'm a little disappointed in you !",anger
Drop gun .,anger
Drop it or the little shit's dead !,anger
"Drop it , okay ?",anger
Drop that cannon .,anger
Drop that wood !,anger
"[PERSON] , open your fucking eyes !",anger
"[PERSON] gave me my title shot , you didn't .",anger|sadness
Eat shit !,anger
Eat your breakfast and forget it .,anger
Either he falls in line or I'll break him so open they won't find the pieces .,anger
"Either way , murder or suicide , I'd say he deserved it , wouldn't you ?",anger|disgust|joy
"Either you come here to find out the mess , or we take your family .",anger
"Either you take care of yourself or I , too , shall resign .",anger
"Elder , if you have something to say , just say it",anger
Elder ...,anger
"Emily , why are you still using your mother's phone ?",anger
"Emotionally , she's a child .",anger
"End of the line , asshole .",anger
"Enjoying the party , Captain [PERSON] ?",anger
Enough of your tricks !,anger
Enough with the water .,anger|disgust|sadness|surprise
Enough !,anger
Ensign [PERSON] called and told me that you were in trouble .,anger|surprise
Enter !,anger
Environmentalists call it a disaster .,anger|surprise
"[PERSON] , come on , damn it !",anger
Especially not to throw away your career with this team .,anger|disgust
"Even if I told you what was the matter with you , you wouldn't admit it .",anger
"Even if I were wearing a wire , this noise would wreck the tape .",anger
Even if it could be your involvement with drugs has vindicated me .,anger|disgust
"Even in one of yours , I would have thrown this glass at him .",anger
"Even so , quite wrong to threaten . Not the way to treat an enlisted man .",anger|sadness
Ever since Case took over the firm .,anger|disgust
Every living being is capable of attack ... if sufficiently provoked .,anger
Every one of them terrible .,anger|disgust
"Every time I run into you , you tell me whatever shady thing just went down was about the greater good or that it didn't happen , or this , that , or the other .",anger
"Everybody calls you plain [PERSON] , why can't I ?",anger
Everybody forgot about it but me .,anger|disgust
"Everybody out , now !",anger
"Everybody thinks they're humorous , but they're not .",anger
Everything is corrupt and incompetent .,anger|disgust
Everything there can be interpreted as an attempt to enforce discipline .,anger|disgust
Exactly how you disrupted their state's vote .,anger|disgust
Exaggerate .,anger
Except never take drugs and go to AA meetings for the rest of your life .,anger|sadness
Except you honked the fucking horn .,anger|disgust|surprise
"Excuse me , I'm looking for a man .",anger
Excuse me .,anger
Excuse me ...,anger|fear
Explain yourself .,anger
[GAY SLUR] .,anger|disgust
"False alarms were common , And they didn't help our morale .",anger
Father [PERSON] can't keep his hands to himself .,anger|disgust
"Father , he might betray you !",anger|fear
"Feet ! Feet , you fool !",anger
Fight for real !,anger|sadness
Figure out which one you are and call back .,anger
Find out where they take the cash .,anger
Find someone else to sing about .,anger
"Find the most tender and vulnerable , to destroy his heart .",anger
Fine mess you got me into .,anger
"Fine , till you come along .",anger
Fine !,anger
Fine .,anger|joy
"Fine . Actually , perfect .",anger
Fine . You win .,anger|disgust
Fire the security department !,anger
"First we steal his gun , then we shoot .",anger
"First you waste my time , then you get my name wrong !",anger
"First , take him to the station .",anger
Five more minutes . - No !,anger
"Flo , if I wanted anything else , I'd call [PERSON] here .",anger
Fog your mind so you can't remember a darn thing .,anger
Fool .,anger
"For chrissake , where did she come up with [PERSON] ?",anger
For [PERSON]'s sake !,anger|surprise
"For God's sake , June !",anger|disgust|surprise
"For God's sake , listen to me !",anger
"For God's sake , shut that up !",anger
"For God's sakes , put yourself in my position .",anger
"For heaven's sake , stay there !",anger
"For if I'm not physician , how is it I know that you're a dying man ?",anger
"For once in my life , I'm telling --",anger
"For the love of God , [PERSON] .",anger|disgust
"For the tenth time then , will you stay out of this [PERSON] thing ?",anger
For what ?,anger
"For your information , I was at [LOCATION] .",anger
"Forget it , that's enough .",anger|sadness
Forget it !,anger
Forget it .,anger|sadness
Francis !,anger
"Francis ! Pay the guy , will you ?",anger
"From here on , your education must continue in the school of war .",anger|disgust
From this moment it is death to him who wears the ring .,anger
Fuck 'em .,anger
Fuck him .,anger
"Fuck it , man .",anger|sadness
Fuck it !,anger
Fuck it . I start with me .,anger
"Fuck off , [PERSON] .",anger
Fuck off !,anger
Fuck off .,anger
Fuck [LOCATION] .,anger|disgust
Fuck only knows why [PERSON] lets them in .,anger|disgust
Fuck the law .,anger
Fuck the office !,anger|disgust
Fuck the process !,anger
Fuck them !,anger
Fuck this shit .,anger
"Fuck you , [PERSON] .",anger
Fuck you !,anger|disgust
Fuck you .,anger|disgust
Fuck your goddamn cleaner !,anger
Fuck !,anger
Fuck ! Fuck !,anger|sadness
Fuck .,anger
Fuckin' machine took my quarter .,anger
Fucking bitch !,anger|disgust
"Fucking come on , then !",anger
Fucking cops always forget something .,anger|disgust
Fucking [GAY SLUR] .,anger|disgust
Fucking gas company .,anger
Fucking six ...,anger
"Get a bat , that's a boy .",anger|joy
Get along with it .,anger
"Get away from her , you bitch !",anger|disgust
Get away from that wood !,anger
Get back in ranks !,anger
Get back on the job .,anger
Get back !,anger
Get between the treads !,anger
... Primitive,disgust
"♪ Slimy , cold seaweed dishes when they ate it ♪",disgust
A boy that I watched grow up was in that car that you threw the hornets into .,disgust
A cockroach !,disgust
"A couple months in solitary will cool you off , bugger .",disgust
A glamour girl who does not even smoke .,disgust
A lie .,disgust
A man who has come here as a fool .,disgust
A man who would come here as a virgin .,disgust
A manicure and a haircut wouldn't do any harm .,disgust
"A marriage bed is made for two , but every damn morning , it's the woman who has to make it .",disgust
A real Jekyll and [PERSON] .,disgust
A rebel .,disgust
A setup !,disgust
A skinhead in our bar .,disgust
about jealousy .,disgust
According to some estimates we can not track . trillion dollars in transactions .,disgust
Act your age !,disgust
Admiral's party approaching .,disgust
"After marrying , clear what ...",disgust
"After that pathetic scene in the parking lot , she is fucked and should resign .",disgust
After that we found out that it wasn't the Russians .,disgust
After we get to the capital whatever the emperor does to you is not me responsibility,disgust
"Ah , he's peeing on me !",disgust
"Alas , if he were brave this would not be necessary .",disgust|sadness
"[PERSON] , what the hell have you done to the coffee ?",disgust
"All right , so we got ourselves a real live rat , right ?",disgust
"All right , you big bastard , come on .",disgust
"All right , you rat prick .",disgust
"All she could do was drink and cry , like you .",disgust
All she do is waggle her hips and shake her behind .,disgust
